,Posición,Título,Año,Duración,Rating
201,206, El moderno Sherlock Holmes,1924,45m,"8,1"
202,207, Mary and Max,2009,1h 32m,"8,1"
203,208, El cazador,1978,3h 3m,"8,1"
204,209, El salario del miedo,1953,2h 36m,"8,1"
205,210, El maquinista de La General,1926,1h 18m,"8,1"
206,211, Logan,2017,2h 17m,"8,1"
207,212, Caballero sin espada,1939,2h 9m,"8,1"
208,213, La ley del silencio,1954,1h 48m,"8,1"
209,214, Rocky,1976,2h,"8,1"
210,215, Fresas salvajes,1957,1h 32m,"8,1"
211,216, Cuentos de Tokio,1953,2h 17m,"8,1"
212,217, Piratas del Caribe: La maldición de la Perla Negra,2003,2h 23m,"8,1"
213,218, El tercer hombre,1949,1h 44m,"8,1"
214,219, Spotlight,2015,2h 9m,"8,1"
215,220, Maharaja,2024,2h 21m,"8,3"
216,221, Terminator,1984,1h 47m,"8,1"
217,222, El odio,1995,1h 38m,"8,1"
218,223, El gran Lebowski,1998,1h 57m,"8,1"
219,224, Jai Bhim,2021,2h 44m,"8,6"
220,225, El séptimo sello,1957,1h 36m,"8,1"
221,226, La habitación,2015,1h 58m,"8,1"
222,227, Sonrisas y lágrimas,1965,2h 54m,"8,1"
223,228, Hotel Rwanda,2004,2h 1m,"8,1"
224,229, Los mejores años de nuestra vida,1946,2h 50m,"8,1"
225,230, Platoon,1986,2h,"8,1"
226,231, Antes del atardecer,2004,1h 20m,"8,1"
227,232, A Silent Voice,2016,2h 10m,"8,2"
228,233, Los Increíbles,2004,1h 55m,"8,0"
229,234, El exorcista,1973,2h 2m,"8,1"
230,235, Siempre a tu lado (Hachiko),2009,1h 33m,"8,1"
231,236, Rush,2013,2h 3m,"8,1"
232,237, El mago de Oz,1939,1h 42m,"8,1"
233,238, Cuenta conmigo,1986,1h 29m,"8,1"
234,239, El gigante de hierro,1999,1h 26m,"8,1"
235,240, La pasión de Juana de Arco,1928,1h 50m,"8,1"
236,241, Mi padre y mi hijo,2005,1h 52m,"8,2"
237,242, La doncella,2016,2h 25m,"8,1"
238,243," Network, un mundo implacable",1976,2h 1m,"8,1"
239,244, La batalla de Argel,1966,2h 1m,"8,1"
240,245, Guardianes de la noche - Kimetsu no Yaiba - La película: Tren Infinito,2020,1h 57m,"8,2"
241,246, Las uvas de la ira,1940,2h 9m,"8,1"
242,247, Ser o no ser,1942,1h 39m,"8,1"
243,248, Gangs of Wasseypur,2012,5h 21m,"8,2"
244,249, Drishyam,2015,2h 43m,"8,2"
245,250, Criadas y señoras,2011,2h 26m,"8,1"
